x,y,utc
914260.645135,574784.03625,1394733447.0
914325.122499,574972.866554,1394733455.0
914255.229162,574777.486829,1394733474.0
914045.80764,574583.911615,1394733571.0
914044.683221,574583.916171,1394733602.0
913441.236664,574766.060917,1394733616.0
913436.330928,575699.224678,1394733672.0
914321.343444,574974.843612,1394733689.0
913961.268909,575454.73852,1394733710.0
913963.080645,575453.741426,1394733731.0
914043.256862,574587.00373,1394733734.0
913960.194529,575455.281724,1394733755.0
913961.934232,575452.86874,1394733803.0
913961.934232,575452.86874,1394733819.0
913839.514413,575172.347638,1394733889.0
913963.884928,575454.71008,1394733939.0
913439.340629,574765.745497,1394734049.0
913963.884928,575454.71008,1394734202.0
913962.295568,575453.394631,1394734288.0
913962.68701,575452.790193,1394734336.0
914574.091267,574671.315273,1394734488.0
913573.880968,574867.637913,1394734674.0
913758.890851,575494.538492,1394735172.0
913023.137827,573798.990179,1394735326.0
914291.968171,574689.255864,1394735356.0
913023.137827,573798.990179,1394735415.0
913023.137827,573798.990179,1394735528.0
913280.02762,574751.066468,1394735668.0
914509.682319,574850.250615,1394735703.0
913960.212733,575456.897385,1394735782.0
914484.430102,574673.724315,1394735833.0
913960.212733,575456.897385,1394736036.0
913741.935426,575361.984867,1394736103.0
913961.486929,575456.586626,1394736131.0
913962.338708,575454.377412,1394736145.0
913023.137827,573798.990179,1394736239.0
914619.232819,575040.286815,1394736357.0
914512.235645,574848.526669,1394736499.0
913757.78976,575499.475516,1394736598.0
914638.418622,574884.336853,1394736605.0
913841.806354,575224.728159,1394736701.0
914057.871733,574553.009709,1394736807.0
914549.851567,574831.485034,1394736865.0
914240.700083,575311.976301,1394737201.0
914469.560316,574678.864498,1394737240.0
914183.761147,574758.079259,1394737270.0
913956.594216,575456.232182,1394737361.0
914242.348192,575312.73006,1394737381.0
913958.536533,575457.105239,1394737383.0
913268.9544,574692.531255,1394737539.0
914592.865489,574767.36885,1394737690.0
913425.530945,575719.381241,1394738063.0
913426.290698,575714.442445,1394738110.0
914493.124916,575074.060081,1394738360.0
914480.245404,575078.516755,1394738384.0
913754.094895,574848.509988,1394738589.0
914280.563051,575381.958284,1394738669.0
913748.032784,575177.903411,1394738707.0
914276.824808,574847.516182,1394738793.0
916039.729001,581280.385586,1394738810.0
913877.099431,574988.749803,1394739280.0
914357.093477,574913.31164,1394739346.0
913753.142678,575240.367029,1394739430.0
913753.635825,575367.011992,1394739450.0
913278.79109,575609.625832,1394739487.0
913403.207458,575607.343321,1394739502.0
914355.968648,574913.112946,1394739526.0
913272.362626,575595.878838,1394739552.0
914329.668449,574903.515446,1394739568.0
914053.765846,574533.240305,1394739593.0
914271.819916,574847.938597,1394739614.0
913266.561855,575599.008772,1394739666.0
914466.459935,575068.753074,1394739694.0
911602.850241,580032.969463,1394739707.0
914470.182488,575065.709998,1394739723.0
913376.500162,574802.725883,1394739750.0
913377.004201,574803.213135,1394739777.0
913756.087978,575299.080206,1394739801.0
913272.665351,575596.464553,1394739822.0
914172.288364,574724.311524,1394739874.0
913272.236269,575595.839751,1394739959.0
913745.02504,575318.869389,1394739996.0
913757.111557,575295.706479,1394740015.0
913374.274211,574794.699305,1394740017.0
913753.56065,575297.912984,1394740062.0
913760.516064,575153.675258,1394740133.0
913450.10492,574847.154569,1394740215.0
912044.463298,577306.525699,1394740312.0
914463.977134,575067.833316,1394740326.0
914363.116901,574639.867053,1394740344.0
912051.831411,577318.275576,1394740455.0
913981.13697,575451.485443,1394740496.0
914369.373549,574913.129742,1394740528.0
914319.134692,575051.225784,1394740725.0
913977.33814,575452.869686,1394740728.0
914328.28174,575032.796244,1394740919.0
913977.33814,575452.869686,1394741002.0
914435.75853,575269.575776,1394741593.0
914453.408914,574618.53885,1394741830.0
913081.442276,574833.468465,1394741896.0
913973.924149,575450.364928,1394742049.0
915299.865327,579751.246357,1394742136.0
914258.641507,575002.28636,1394742224.0
914257.28896,575014.746877,1394742288.0
913758.192453,575499.665023,1394742301.0
913757.50878,575498.155849,1394742367.0
913678.767801,575067.690921,1394742406.0
914574.551995,574673.093913,1394742518.0
914347.390565,575034.972522,1394742526.0
914623.312647,574681.805524,1394742545.0
913436.120776,574795.745943,1394742816.0
913982.369295,575445.874685,1394743001.0
914183.783919,575697.290593,1394743008.0
913626.423846,574851.92785,1394743208.0
913461.253107,574845.52897,1394743743.0
913770.482977,575176.83866,1394743854.0
911756.656817,579563.119163,1394743898.0
914116.398465,575471.330784,1394744091.0
913742.275188,574947.021511,1394744142.0
914336.519102,573124.535206,1394744320.0
913023.137827,573798.990179,1394744363.0
911131.00591,577581.149077,1394744450.0
913023.137827,573798.990179,1394744460.0
913024.112787,573799.591484,1394744551.0
913274.270021,575596.851592,1394744593.0
913293.242348,574850.845587,1394744775.0
914301.384317,575285.757651,1394744853.0
913024.281524,573800.169182,1394744898.0
913269.655954,575595.860722,1394744905.0
913024.416313,573800.746821,1394745207.0
914086.518563,574407.029826,1394745516.0
914087.078075,574408.69647,1394745589.0
914313.793778,575053.491898,1394745829.0
913024.416313,573800.746821,1394746002.0
913024.416313,573800.746821,1394746011.0
913683.651759,575609.898709,1394746116.0
913756.545348,575435.940767,1394746157.0
912152.664181,577489.587627,1394747378.0
913376.836862,574804.734079,1394747609.0
913374.420927,574806.16662,1394747686.0
913023.576141,573800.723154,1394747694.0
912410.157492,574434.055421,1394747953.0
913789.375984,574924.38707,1394747968.0
913375.881086,574805.359747,1394748116.0
914223.069015,575563.478863,1394748272.0
913376.232334,574803.970158,1394748352.0
913816.601031,575197.737893,1394748353.0
913155.419472,574314.783642,1394748626.0
914176.893231,574820.150728,1394748837.0
913807.412361,575171.833183,1394748854.0
913295.981458,575716.85402,1394748971.0
913819.9082,574790.573966,1394749140.0
914599.747252,574668.163913,1394749152.0
913280.484158,575599.387642,1394749298.0
914282.555482,574839.838713,1394749318.0
913812.594807,575198.337898,1394749343.0
913806.100389,575189.408341,1394749409.0
914312.330031,575020.590277,1394749436.0
912081.547911,577547.288874,1394749488.0
914277.683396,575036.988064,1394749559.0
913738.512996,575166.311188,1394749570.0
914252.551134,575034.09763,1394749612.0
913278.725225,575596.51415,1394749653.0
914305.644604,574999.481096,1394749676.0
911708.470773,579851.605182,1394749690.0
913766.814425,575552.17931,1394749754.0
914286.170838,575029.344718,1394749762.0
914292.497511,575039.242636,1394749782.0
914305.616326,575020.082227,1394749811.0
914266.906473,575029.069299,1394749871.0
913757.641726,575559.328972,1394749900.0
913374.563138,575652.024496,1394749906.0
913427.918153,574907.192755,1394749925.0
913520.590604,574752.119337,1394750081.0
912085.615017,577560.664644,1394750257.0
914587.922001,575137.861901,1394750392.0
914196.463425,575006.515567,1394750492.0
914287.004716,575021.909982,1394750782.0
915286.716282,579758.491539,1394750976.0
913989.436205,575507.904653,1394751058.0
914280.011884,574847.174697,1394751212.0
914278.808686,574845.344693,1394751342.0
913277.49002,575598.314136,1394751384.0
914291.941272,575022.554538,1394751470.0
914283.524798,575039.707448,1394751659.0
913813.086297,575501.247244,1394751686.0
913768.466087,574900.935944,1394751715.0
914266.906473,575029.069299,1394751723.0
914266.906473,575029.069299,1394751941.0
913614.039802,574898.579727,1394752030.0
911630.564319,579308.10372,1394752033.0
913468.403174,574903.205766,1394752331.0
914304.023087,575011.442524,1394752335.0
913465.514986,574901.587173,1394752346.0
914274.786131,575035.797754,1394752385.0
914288.593135,575021.512156,1394752424.0
914266.906473,575029.069299,1394752468.0
914296.316242,575038.242787,1394752684.0
913688.965318,574947.096099,1394752953.0
913546.317888,574909.177934,1394753146.0
914180.372032,574914.582059,1394753148.0
914277.990469,575042.390728,1394753246.0
914287.639551,575029.421913,1394753467.0
914575.797259,574669.850646,1394753523.0
914266.906473,575029.069299,1394753717.0
914290.094457,575023.624771,1394754011.0
913824.096381,574931.649705,1394754118.0
914396.736849,574908.184341,1394754197.0
914283.394964,575031.24709,1394754294.0
914272.8965,575046.881465,1394754304.0
913023.590917,573801.989028,1394754522.0
913583.813087,574893.674693,1394754726.0
913024.234172,573803.000603,1394754851.0
913875.631259,575183.227439,1394754932.0
913996.528941,575452.428023,1394755035.0
911728.928852,579528.629868,1394755079.0
913581.099621,574891.645526,1394755183.0
913275.164847,575597.041944,1394755247.0
913828.975914,575279.754608,1394755258.0
911621.048367,579298.075336,1394755382.0
913492.324502,574906.980816,1394755405.0
913559.411339,574919.060806,1394755552.0
913024.234172,573803.000603,1394755678.0
914283.989562,575026.921008,1394755690.0
914284.928366,575026.320962,1394755816.0
913024.234172,573803.000603,1394755850.0
914257.393636,575031.097663,1394755897.0
911622.513571,579299.343469,1394755964.0
911622.65724,579303.492155,1394756152.0
914266.906473,575029.069299,1394756181.0
911647.621811,579304.732406,1394756278.0
915491.579404,574742.213642,1394756293.0
913024.234172,573803.000603,1394756297.0
911643.770724,579291.629221,1394756297.0
914320.270829,575006.400139,1394756327.0
911636.369775,579301.855624,1394756377.0
911644.278181,579299.066374,1394756440.0
913024.234172,573803.000603,1394756479.0
914302.778757,575035.19264,1394756564.0
911644.991781,579302.101103,1394756587.0
914296.927606,575029.13315,1394756691.0
911628.705128,579304.962835,1394756703.0
914288.63595,575018.637421,1394756763.0
914290.473794,575027.17099,1394756796.0
914266.906473,575029.069299,1394756802.0
911634.427885,579295.175757,1394756809.0
913341.165199,574932.81905,1394756858.0
914295.375324,575021.260811,1394756897.0
911618.50076,579302.984912,1394756979.0
911644.274961,579310.406907,1394757019.0
914284.042515,575030.749756,1394757173.0
911629.156333,579312.04235,1394757262.0
914281.705328,575030.880772,1394757368.0
911625.171905,579295.767659,1394757465.0
914164.573718,575809.345574,1394757610.0
913583.255678,575735.149895,1394757656.0
914429.268811,575037.742422,1394757741.0
914287.353591,575019.177961,1394757832.0
913312.062953,574692.682063,1394758307.0
913743.294537,574869.594366,1394758507.0
914266.906473,575029.069299,1394758565.0
914291.071406,575021.26593,1394758628.0
914436.302383,575032.089609,1394758707.0
914446.64441,575049.387301,1394758729.0
914437.063386,575034.814877,1394758858.0
914433.512678,575037.630668,1394758861.0
914432.295502,575038.688754,1394758880.0
914296.444472,575010.601933,1394758975.0
914435.47176,575032.909703,1394759009.0
913810.398335,574785.364233,1394759106.0
913793.91578,574777.287965,1394759173.0
914288.191656,575026.912359,1394759203.0
914283.258122,575025.128545,1394759235.0
913500.219555,574912.212777,1394759358.0
914393.810705,574634.25512,1394759798.0
914391.840346,574664.707275,1394759887.0
912082.710905,577546.757758,1394760127.0
914287.278657,575022.876549,1394760148.0
914287.54495,575019.395964,1394760149.0
913491.870611,574923.431622,1394760240.0
913626.492579,574851.461608,1394760289.0
914428.649132,575038.30309,1394760603.0
911540.607088,579931.515619,1394760628.0
913423.680032,574908.329984,1394760654.0
914435.163352,575034.870069,1394760697.0
911685.028393,580170.948359,1394761141.0
913581.266016,574879.893399,1394761219.0
914241.373116,574987.599638,1394761276.0
913400.805918,575602.764193,1394761368.0
914479.518173,574668.565922,1394761409.0
913307.922932,574721.204099,1394761685.0
913270.145103,575571.661601,1394761719.0
913378.763958,574805.233864,1394761819.0
913272.159497,574703.592023,1394761868.0
913376.242102,574801.824892,1394762428.0
913863.419273,575813.477269,1394762558.0
913837.216463,575319.966171,1394762599.0
913580.543205,574884.011658,1394762651.0
913374.801225,574803.714435,1394762723.0
913425.172907,574783.086701,1394762736.0
911494.061509,579512.506758,1394762838.0
913375.835579,574803.279895,1394762847.0
913376.62662,574802.715004,1394762867.0
911664.483904,580127.218597,1394762922.0
911866.421567,579889.204537,1394763033.0
913375.808836,574803.048885,1394763066.0
913376.642501,574802.375252,1394763086.0
913177.212237,574761.663676,1394763127.0
913375.368532,574806.315993,1394763174.0
914279.699101,575032.337121,1394763177.0
913375.352618,574804.771405,1394763179.0
913375.352618,574804.771405,1394763185.0
914217.666635,574954.981169,1394763662.0
914282.103835,575063.56383,1394763764.0
914228.38486,575122.683574,1394764062.0
914280.181733,575019.521845,1394764111.0
913308.20729,575680.032745,1394764340.0
914126.956912,575571.509611,1394764350.0
913837.216463,575319.966171,1394764366.0
914250.392127,575044.953203,1394764549.0
914303.602391,575059.377536,1394764588.0
913372.283304,574812.847388,1394764603.0
914300.087999,575057.422086,1394764676.0
913373.01985,574803.822297,1394764729.0
913761.682788,574998.365177,1394764737.0
911450.455714,579528.463046,1394764967.0
913414.135503,574902.031393,1394764979.0
913266.284283,574696.128653,1394765054.0
913837.216463,575319.966171,1394765184.0
913817.297302,574935.046088,1394765186.0
913817.304093,574935.04499,1394765290.0
913804.865465,575194.17633,1394765673.0
913758.652492,574857.369315,1394765674.0
913778.306345,574840.349728,1394765730.0
913375.832373,574804.60126,1394765903.0
913375.914304,574804.339353,1394765910.0
913376.067396,574805.096915,1394765926.0
913376.067396,574805.096915,1394765932.0
913376.067396,574805.096915,1394765939.0
913375.761268,574804.502308,1394765956.0
913376.306685,574803.200787,1394765984.0
913283.620686,575608.21086,1394766367.0
913771.117959,574844.069672,1394766490.0
913555.999534,575709.091718,1394766530.0
913757.171594,575508.968275,1394766549.0
913256.656444,575650.381521,1394766633.0
912207.756878,580770.674935,1394766832.0
911483.023797,579515.476803,1394766850.0
913838.888092,575267.091061,1394766993.0
914304.572771,575287.264991,1394766994.0
911601.665697,579287.603054,1394767516.0
913837.216463,575319.966171,1394767860.0
913839.922897,575264.553494,1394768072.0
912220.044042,580780.997328,1394768118.0
912221.862008,580786.677798,1394768736.0
912223.606861,580786.245369,1394768819.0
913548.566485,574913.943374,1394768849.0
913488.385898,574940.203432,1394768881.0
912220.854218,580782.295604,1394768885.0
912228.152362,577501.258621,1394768908.0
911466.161311,579528.653644,1394768960.0
913487.751033,574940.277797,1394768973.0
913491.877238,574938.139936,1394769005.0
913801.80912,575189.510369,1394769055.0
913549.301782,574903.373735,1394769057.0
913803.700189,575189.691514,1394769075.0
912220.606716,580781.203672,1394769110.0
913533.099117,574905.708504,1394769150.0
913801.828431,575186.395743,1394769186.0
913803.974224,575190.176152,1394769240.0
911959.116155,577520.875893,1394769453.0
913025.135141,573802.224892,1394769454.0
913493.150815,574939.625717,1394769478.0
913025.135141,573802.224892,1394769482.0
913025.135141,573802.224892,1394769619.0
913025.135141,573802.224892,1394769978.0
913025.135141,573802.224892,1394770117.0
913025.135141,573802.224892,1394770263.0
913025.135141,573802.224892,1394770290.0
913275.720328,575608.221292,1394770308.0
913026.07839,573801.538086,1394770340.0
913026.07839,573801.538086,1394770356.0
913026.07839,573801.538086,1394770387.0
913026.07839,573801.538086,1394770462.0
913026.07839,573801.538086,1394770525.0
911310.834887,579049.878495,1394770540.0
913026.07839,573801.538086,1394770562.0
913026.07839,573801.538086,1394770583.0
911310.834887,579049.878495,1394770611.0
914368.074993,574109.868194,1394770619.0
913026.07839,573801.538086,1394770798.0
911310.834887,579049.878495,1394770847.0
913264.886933,574696.923444,1394770881.0
913628.522507,574855.129604,1394770913.0
915312.944883,579707.092294,1394770957.0
913265.894485,574696.293412,1394770983.0
911310.834887,579049.878495,1394771064.0
913265.743213,574697.378,1394771122.0
911310.834887,579049.878495,1394771256.0
913741.894275,575497.835174,1394771283.0
913753.1732,575175.163498,1394771363.0
913999.775408,575464.210956,1394771391.0
